start_lat start_longt end_lat end_longt departure_time mode distance travel_distance travel_time
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363737600 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363741200 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363744800 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363748400 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363752000 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363755600 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363759200 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363762800 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363766400 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363770000 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363773600 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363777200 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363780800 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363784400 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363788000 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363791600 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363795200 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363798800 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363802400 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363806000 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363809600 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363813200 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363816800 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363820400 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363824000 transit 0.290947519684 1.162 877
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363737600 bicycling 0.290947519684 1.69 438
51.4302846398 0.197486042255 51.4276709986 0.197486042255 1363737600 walking 0.290947519684 1.162 877
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363737600 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363741200 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363744800 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363748400 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363752000 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363755600 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363759200 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363762800 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363766400 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363770000 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363773600 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363777200 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363780800 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363784400 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363788000 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363791600 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363795200 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363798800 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363802400 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363806000 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363809600 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363813200 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363816800 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363820400 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363824000 transit 0.285999497211 1.248 911
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363737600 bicycling 0.285999497211 1.248 230
51.5587782766 -0.0324808881144 51.5562090845 -0.0324808881144 1363737600 walking 0.285999497211 1.248 911
