start_lat start_longt end_lat end_longt departure_time mode distance travel_distance travel_time
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363737600 transit 7.29654730581 15.979 3313
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363741200 transit 7.29654730581 16.575 3524
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363744800 transit 7.29654730581 16.575 3434
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363748400 transit 7.29654730581 16.575 3481
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363752000 transit 7.29654730581 16.339 3352
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363755600 transit 7.29654730581 9.69 1592
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363759200 transit 7.29654730581 10.205 2639
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363762800 transit 7.29654730581 20.872 3020
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363766400 transit 7.29654730581 10.006 2953
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363770000 transit 7.29654730581 11.415 2883
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363773600 transit 7.29654730581 11.415 2823
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363777200 transit 7.29654730581 20.853 3057
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363780800 transit 7.29654730581 20.872 3061
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363784400 transit 7.29654730581 9.562 2272
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363788000 transit 7.29654730581 20.853 3057
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363791600 transit 7.29654730581 9.562 2332
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363795200 transit 7.29654730581 9.581 2307
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363798800 transit 7.29654730581 12.238 3242
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363802400 transit 7.29654730581 9.69 2035
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363806000 transit 7.29654730581 9.69 1921
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363809600 transit 7.29654730581 11.415 2536
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363813200 transit 7.29654730581 14.144 2720
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363816800 transit 7.29654730581 11.415 2536
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363820400 transit 7.29654730581 11.415 2440
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363824000 transit 7.29654730581 15.979 3313
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363737600 bicycling 7.29654730581 12.903 3398
51.523087923 0.0320326728028 51.4575415431 0.0320326728028 1363737600 walking 7.29654730581 12.185 9142
