start_lat start_longt end_lat end_longt departure_time mode distance travel_distance travel_time
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363737600 transit 9.10007410767 12.0 2547
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363741200 transit 9.10007410767 14.475 3210
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363744800 transit 9.10007410767 14.475 3209
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363748400 transit 9.10007410767 14.475 3209
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363752000 transit 9.10007410767 14.475 3209
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363755600 transit 9.10007410767 14.075 3017
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363759200 transit 9.10007410767 12.33 3045
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363762800 transit 9.10007410767 11.149 3491
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363766400 transit 9.10007410767 11.149 3491
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363770000 transit 9.10007410767 11.149 3490
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363773600 transit 9.10007410767 11.152 3081
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363777200 transit 9.10007410767 11.148 3105
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363780800 transit 9.10007410767 11.148 3105
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363784400 transit 9.10007410767 11.148 3105
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363788000 transit 9.10007410767 11.148 3105
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363791600 transit 9.10007410767 10.818 3154
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363795200 transit 9.10007410767 11.152 3310
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363798800 transit 9.10007410767 11.152 3310
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363802400 transit 9.10007410767 11.148 3213
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363806000 transit 9.10007410767 14.075 3497
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363809600 transit 9.10007410767 11.268 2913
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363813200 transit 9.10007410767 10.819 2765
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363816800 transit 9.10007410767 14.132 3263
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363820400 transit 9.10007410767 14.479 3210
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363824000 transit 9.10007410767 12.0 2547
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363737600 bicycling 9.10007410767 12.709 3271
51.521390897 -0.0211598961251 51.4396430662 -0.0211598961251 1363737600 walking 9.10007410767 10.545 7935
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363737600 transit 13.8077906987 17.073 3823
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363741200 transit 13.8077906987 28.941 6167
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363744800 transit 13.8077906987 28.941 6167
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363748400 transit 13.8077906987 28.941 6167
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363752000 transit 13.8077906987 26.374 5415
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363755600 transit 13.8077906987 19.249 4336
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363759200 transit 13.8077906987 28.007 3563
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363762800 transit 13.8077906987 26.108 3853
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363766400 transit 13.8077906987 30.038 4480
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363770000 transit 13.8077906987 26.19 4303
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363773600 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363777200 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363780800 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363784400 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363788000 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363791600 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363795200 transit 13.8077906987 26.19 4033
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363798800 transit 13.8077906987 26.19 4093
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363802400 transit 13.8077906987 26.19 4093
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363806000 transit 13.8077906987 26.19 4063
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363809600 transit 13.8077906987 19.963 3474
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363813200 transit 13.8077906987 28.006 3653
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363816800 transit 13.8077906987 19.249 4192
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363820400 transit 13.8077906987 17.073 3823
51.4193313347 0.0462597954103 51.5433695485 0.0462597954103 1363824000 transit 13.8077906987 17.073 3823
